SYMBOL,NAME OF COMPANY
20MICRONS,20 Microns Limited
21STCENMGM,21st Century Management Services Limited
360ONE,360 ONE WAM LIMITED
3IINFOLTD,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Limited
5PAISA,5Paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AADHARHFC,Aadhar Housing Finance Limited
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVEEDEN,Aarvee Denims & Exports Limited
AARVI,Aarvi Encon Limited
AAVAS,Aavas Financiers Limited
ABAN,Aban Offshore Limited
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABDL,Allied Blenders and Distillers Limited
ABFRL,Aditya Birla Fashion and Retail Limited
ABMINTLLTD,ABM International Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACCURACY,Accuracy Shipping Limited
ACE,Action Construction Equipment Limited
ACEINTEG,Ace Integrated Solutions Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACLGATI,Allcargo Gati Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADORWELD,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
AEGISLOG,Aegis Logistics Limited
AEROFLEX,Aeroflex Industries Limited
AETHER,Aether Industries Limited
AFFLE,Affle (India) Limited
AFIL,Akme Fintrade (India) Limited
AGARIND,Agarwal Industrial Corporation Limited
AGI,AGI Greenpac Limited
AGRITECH,Agri-Tech (India) Limited
AGROPHOS,Agro Phos India Limited
AGSTRA,AGS Transact Technologies Limited
AHL,Abans Holdings Limited
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam limited
AJANTPHARM,Ajanta Pharma Limited
