Security Code,Company Name,Security Id
500002,ABB India Limited,ABB
500003,Aegis Logistics Ltd.,AEGISLOG
500008,Amara Raja Energy & Mobility Limited,ARE&M
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA
500012,Andhra Petrochemicals Ltd.,ANDHRAPET
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE
500016,Aruna Hotels Ltd.,ARUNAHTEL
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING
500023,Asian Hotels (North) Limited,ASIANHOTNR
500027,Atul Limited.,ATUL
500028,ATV Projects India Ltd,ATVPR
500031,Bajaj Electricals Ltd.,BAJAJELEC
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND
500033,Force Motors Limited,FORCEMOT
500034,Bajaj Finance Limited,BAJFINANCE
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN
500039,Banco Products (India) Ltd.,BANCOINDIA
500040,Century Textiles & Industries Ltd.,CENTURYTEX
500041,Bannari Amman Sugars Ltd.,BANARISUG
500042,BASF India Ltd,BASF
500043,Bata India Limited,BATAINDIA
500048,BEML Ltd,BEML
500049,Bharat Electronics Ltd.,BEL
500052,Bhansali Engineering Polymers Ltd.,BEPL
500058,Bihar Sponge Iron Ltd,BIHSPONG
500059,Binani Industries Limited,BINANIIND
500060,Birla Cable Limited,BIRLACABLE
500067,Blue Star Ltd,BLUESTARCO
500068,Disa India Ltd.,DISAQ
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP
500074,BPL Ltd.,BPL
500078,ORIENTAL AROMATICS LIMITED,OAL
500083,Century Extrusions Ltd.,CENTEXT
500084,CESC Limited,CESC
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT
500086,Exide Industries Ltd.,EXIDEIND
500087,Cipla Ltd.,CIPLA
500089,DIC India Ltd,DICIND
500092,CRISIL Ltd.,CRISIL
500093,CG Power and Industrial Solutions Limited,CGPOWER
500096,Dabur India Ltd.,DABUR
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
500101,Arvind Ltd.,ARVIND
500103,Bharat Heavy Electricals Ltd.,BHEL
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO
500106,IFCI Ltd.,IFCI
500108,Mahanagar Telephone Nigam Ltd.,MTNL
500109,Mangalore Refinery & Petrochemicals,MRPL
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO
500112,State Bank Of India,SBIN
