Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,1258.50,1260.00,1240.05,1249.55,1250.146379044684129429,649,154,811345.00,325,50.08,19.95,-8.95
27-June-2024,1255.10,1267.05,1245.05,1256.05,1253.434532374100719424,2085,361,2613411.00,1154,55.35,22.00,0.95
26-June-2024,1262.35,1273.55,1254.55,1262.65,1261.031223980016652789,2402,412,3028997.00,1591,66.24,19.00,0.30
25-June-2024,1253.05,1273.15,1252.55,1262.35,1263.809665871121718377,1676,225,2118145.00,956,57.04,20.60,9.30
24-June-2024,1265.25,1287.25,1256.95,1277.75,1268.151031894934333958,1066,156,1351849.00,484,45.40,30.30,12.50
21-June-2024,1277.10,1294.75,1254.85,1271.90,1278.386541111621497473,4354,525,5566095.00,2805,64.42,39.90,-5.20
20-June-2024,1266.50,1271.00,1249.85,1269.00,1259.857142857142857142,707,130,890719.00,422,59.69,21.15,2.50
19-June-2024,1261.00,1268.15,1245.10,1253.85,1252.917716743378857617,26506,199,33209837.00,25849,97.52,23.05,-7.15
18-June-2024,1280.85,1284.25,1260.00,1260.05,1266.716733870967741935,992,160,1256583.00,793,79.94,24.25,-20.80
14-June-2024,1247.15,1283.10,1247.15,1276.35,1271.781321184510250569,878,153,1116624.00,519,59.11,35.95,29.20
13-June-2024,1235.05,1273.40,1235.05,1259.35,1260.672858617131062951,969,182,1221592.00,639,65.94,38.35,24.30
12-June-2024,1205.00,1280.15,1201.90,1268.70,1250.230387868183143773,3429,435,4287040.00,2332,68.01,78.25,63.70
11-June-2024,1227.50,1231.45,1217.05,1227.45,1224.739130434782608695,828,160,1014084.00,562,67.87,14.40,-0.05
10-June-2024,1232.25,1233.95,1216.75,1226.45,1228.351425438596491228,1824,213,2240513.00,1225,67.16,17.20,-5.80
7-June-2024,1203.45,1238.90,1203.45,1232.70,1228.721649484536082474,388,55,476744.00,285,73.45,35.45,29.25
6-June-2024,1205.05,1225.55,1199.00,1207.60,1214.216255442670537010,2756,365,3346380.00,1723,62.52,26.55,2.55
5-June-2024,1159.85,1202.85,1151.40,1198.10,1180.347186147186147186,1155,193,1363301.00,503,43.55,51.45,38.25
4-June-2024,1178.40,1209.80,1151.00,1155.00,1180.709702062643239113,1309,313,1545549.00,715,54.62,58.80,-23.40
3-June-2024,1204.30,1218.90,1198.00,1200.40,1203.285261945883707541,3474,460,4180213.00,1940,55.84,20.90,-3.90
31-May-2024,1210.00,1215.50,1200.00,1204.20,1205.820976491862567811,1659,354,2000457.00,928,55.94,15.50,-5.80
