Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,424.85,426.95,415.40,419.95,419.221925133689839572,374,56,156789.00,320,85.56,11.55,-4.90
27-June-2024,425.10,430.10,416.50,416.50,423.619469026548672566,565,145,239345.00,349,61.77,13.60,-8.60
26-June-2024,419.90,429.00,418.20,421.35,421.264516129032258064,1240,125,522368.00,915,73.79,10.80,1.45
25-June-2024,429.80,434.05,416.40,420.35,428.403742203742203742,2405,153,1030311.00,1601,66.57,17.65,-9.45
24-June-2024,385.10,427.00,385.10,418.15,420.812210915818686401,2162,194,909796.00,1371,63.41,41.90,33.05
21-June-2024,425.00,425.00,413.00,421.25,420.810344827586206896,174,18,73221.00,173,99.43,12.00,-3.75
20-June-2024,419.95,424.95,413.15,417.20,419.436319317489335770,1641,181,688295.00,1217,74.16,11.80,-2.75
19-June-2024,420.00,422.75,409.45,415.75,416.218989280245022970,3265,274,1358955.00,2755,84.38,13.30,-4.25
18-June-2024,405.00,418.65,405.00,416.15,412.700692041522491349,578,77,238541.00,483,83.56,13.65,11.15
14-June-2024,400.00,409.75,398.85,400.10,403.355831265508684863,2015,270,812762.00,1613,80.05,10.90,0.10
13-June-2024,403.00,403.00,391.00,398.70,395.539677202420981842,2974,265,1176335.00,2475,83.22,12.00,-4.30
12-June-2024,409.40,409.40,395.20,399.75,405.266112266112266112,1443,173,584799.00,466,32.29,14.20,-9.65
11-June-2024,456.35,456.35,404.35,406.10,417.457734714333444704,2993,371,1249451.00,2331,77.88,52.00,-50.25
10-June-2024,415.00,426.60,400.00,414.90,412.182949830252734817,2651,262,1092697.00,1696,63.98,26.60,-0.10
7-June-2024,363.95,393.90,363.95,393.80,378.064935064935064935,1001,83,378443.00,784,78.32,29.95,29.85
6-June-2024,357.65,367.70,357.00,358.10,360.864672364672364672,702,52,253327.00,403,57.41,10.70,0.45
5-June-2024,348.00,353.45,341.90,351.30,345.800324675324675324,616,90,213013.00,472,76.62,11.55,3.30
4-June-2024,353.00,355.65,342.40,355.65,349.137870855148342059,2292,56,800224.00,2072,90.40,13.25,2.65
3-June-2024,365.00,368.70,358.80,360.40,363.055643879173290937,629,146,228362.00,547,86.96,9.90,-4.60
31-May-2024,358.55,362.00,352.75,360.90,359.183908045977011494,174,40,62498.00,151,86.78,9.25,2.35
30-May-2024,358.25,360.30,346.75,348.85,349.957061562338334195,1933,94,676467.00,1814,93.84,13.55,-9.40
29-May-2024,360.00,363.25,355.40,357.25,359.520161290322580645,744,127,267483.00,639,85.89,7.85,-2.75
28-May-2024,371.85,372.70,360.00,362.00,365.187241093620546810,1207,112,440781.00,1053,87.24,12.70,-9.85
27-May-2024,362.25,379.25,362.25,373.20,373.595963756177924217,2428,203,907091.00,1895,78.05,17.00,10.95
24-May-2024,375.55,378.55,371.80,376.70,375.793187347931873479,411,41,154451.00,292,71.05,6.75,1.15
23-May-2024,376.85,380.00,369.90,371.70,375.486218302094818081,907,166,340566.00,497,54.80,10.10,-5.15
22-May-2024,380.75,380.75,365.05,376.70,373.971677559912854030,459,54,171653.00,319,69.50,15.70,-4.05
21-May-2024,381.60,381.60,366.60,370.30,374.019718309859154929,355,64,132777.00,279,78.59,15.00,-11.30
18-May-2024,379.45,379.45,373.00,373.10,373.707317073170731707,41,9,15322.00,39,95.12,6.45,-6.35
17-May-2024,370.00,374.30,365.00,372.80,371.453545232273838630,818,160,303849.00,680,83.13,9.30,2.80
16-May-2024,375.00,375.75,364.95,367.60,368.344911639244363193,1641,167,604454.00,1300,79.22,10.80,-7.40
15-May-2024,370.00,379.20,366.70,377.10,370.618279569892473118,744,61,275740.00,692,93.01,12.50,7.10
14-May-2024,359.20,366.30,357.85,366.25,361.897862232779097387,842,113,304718.00,546,64.85,8.45,7.05
13-May-2024,363.80,364.45,348.05,356.75,355.943084050297816015,1511,138,537830.00,1390,91.99,16.40,-7.05
10-May-2024,360.45,363.80,352.75,363.80,358.192560175054704595,457,80,163694.00,380,83.15,11.05,3.35
9-May-2024,385.00,396.45,367.80,367.80,380.419634561783834004,3229,196,1228375.00,2417,74.85,28.65,-17.20
8-May-2024,403.00,407.85,380.20,387.15,395.994321868916288124,6164,557,2440909.00,4730,76.74,27.65,-15.85
7-May-2024,414.90,421.95,389.80,396.30,409.176217895987569691,10941,816,4476797.00,6813,62.27,32.15,-18.60
6-May-2024,399.00,402.65,390.75,402.65,399.781313473256601218,2954,311,1180954.00,2074,70.21,11.90,3.65
3-May-2024,370.00,386.25,368.75,383.50,378.584534731323722149,1526,214,577720.00,472,30.93,17.50,13.50
2-May-2024,369.75,374.85,367.00,367.90,370.232635060639470782,907,99,335801.00,840,92.61,7.85,-1.85
30-April-2024,393.90,393.90,370.65,377.25,374.407871198568872987,559,21,209294.00,553,98.93,23.25,-16.65
29-April-2024,384.70,387.20,373.30,376.10,381.837883959044368600,1172,61,447514.00,763,65.10,13.90,-8.60
26-April-2024,367.95,379.85,367.95,371.75,375.186567164179104477,134,40,50275.00,108,80.60,11.90,3.80
25-April-2024,358.25,375.85,355.95,367.95,365.776859504132231404,968,125,354072.00,920,95.04,19.90,9.70
24-April-2024,365.00,372.00,361.90,365.55,365.901678657074340527,834,73,305162.00,557,66.79,10.10,0.55
23-April-2024,398.40,399.00,370.20,371.00,385.842036553524804177,1532,315,591110.00,1115,72.78,28.80,-27.40
22-April-2024,365.00,381.70,365.00,380.10,377.204262877442273534,2815,274,1061830.00,2472,87.82,16.70,15.10
19-April-2024,355.00,365.30,346.05,363.55,359.841190237378803075,2991,328,1076285.00,2504,83.72,19.25,8.55
18-April-2024,342.00,347.95,340.95,347.95,345.122033898305084745,590,130,203622.00,578,97.97,7.00,5.95
16-April-2024,331.40,331.40,323.00,331.40,329.451807228915662650,166,18,54689.00,155,93.37,8.40,0.00
15-April-2024,325.00,328.55,325.00,328.50,325.119266055045871559,109,9,35438.00,107,98.17,3.55,3.50
12-April-2024,337.70,345.65,326.00,332.15,339.199478487614080834,767,128,260166.00,663,86.44,19.65,-5.55
10-April-2024,337.90,343.90,337.90,338.70,340.185322461082283172,1349,144,458910.00,745,55.23,6.00,0.80
9-April-2024,347.20,347.20,340.20,344.40,342.619246861924686192,239,77,81886.00,215,89.96,7.00,-2.80
8-April-2024,345.00,355.80,340.00,343.45,343.214915797914995990,1247,312,427989.00,1151,92.30,15.80,-1.55
5-April-2024,345.05,345.90,340.25,345.90,342.870445344129554655,247,36,84689.00,146,59.11,5.65,0.85
4-April-2024,348.00,352.95,342.85,348.00,348.746192893401015228,394,72,137406.00,320,81.22,10.10,0.00
3-April-2024,345.15,345.75,345.15,345.75,345.276041666666666666,192,29,66293.00,191,99.48,0.60,0.60
2-April-2024,328.00,337.00,324.85,329.30,332.275907590759075907,1515,161,503398.00,896,59.14,12.15,1.30
1-April-2024,291.25,321.20,291.25,321.00,318.966631016042780748,4675,45,1491169.00,4575,97.86,29.95,29.75
28-March-2024,319.30,326.65,305.40,305.95,311.798225435425566874,6086,258,1897604.00,5524,90.77,21.25,-13.35
27-March-2024,325.65,333.15,321.00,321.45,327.983333333333333333,720,132,236148.00,155,21.53,12.15,-4.20
26-March-2024,332.70,340.00,330.00,330.00,335.720294426919032597,951,71,319270.00,319,33.54,10.00,-2.70
22-March-2024,329.85,341.30,329.20,335.80,335.180327868852459016,488,119,163568.00,394,80.74,12.10,5.95
21-March-2024,327.15,333.25,325.00,325.05,328.743538767395626242,503,126,165358.00,448,89.07,8.25,-2.10
20-March-2024,338.00,344.35,330.40,331.05,337.640644361833952912,2421,174,817428.00,742,30.65,13.95,-6.95
18-March-2024,335.00,354.45,335.00,347.70,347.715018656716417910,2144,149,745501.00,1987,92.68,19.45,12.70
15-March-2024,322.00,337.60,322.00,337.60,333.786221979223619464,1829,97,610495.00,1732,94.70,15.60,15.60
14-March-2024,300.65,325.80,300.45,321.55,316.408947700063011972,1587,144,502141.00,1298,81.79,25.35,20.90
13-March-2024,327.00,329.70,316.25,316.25,321.453510436432637571,527,92,169406.00,490,92.98,13.45,-10.75
12-March-2024,330.30,342.75,330.00,332.85,336.002785515320334261,359,101,120625.00,267,74.37,12.75,2.55
11-March-2024,347.20,348.05,345.75,345.90,346.664233576642335766,274,37,94986.00,265,96.72,2.30,-1.30
7-March-2024,350.50,353.85,349.75,351.90,352.744783306581059390,623,74,219760.00,611,98.07,4.10,1.40
6-March-2024,353.35,353.50,351.95,353.50,352.489361702127659574,94,27,33134.00,85,90.43,1.55,0.15
5-March-2024,355.00,362.50,353.50,360.00,357.109515260323159784,557,43,198910.00,550,98.74,9.00,5.00
4-March-2024,367.60,367.60,362.00,362.05,364.714285714285714285,21,15,7659.00,20,95.24,5.60,-5.55
2-March-2024,363.05,363.05,363.00,363.00,363.000000000000000000,88,7,31944.00,88,100.00,0.05,-0.05
1-March-2024,360.35,367.45,356.55,363.05,361.473372781065088757,676,74,244356.00,624,92.31,10.90,2.70
