Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,479.00,479.00,459.60,467.80,466.539584005159625927,24808,1702,11573914.00,9233,37.22,19.40,-11.20
27-June-2024,478.70,481.00,458.65,463.60,469.834720621505100951,46854,2483,22013636.00,22565,48.16,22.35,-15.10
26-June-2024,483.00,483.00,467.80,469.80,472.070037816843826655,39136,1827,18474933.00,18912,48.32,15.20,-13.20
25-June-2024,491.60,498.10,473.50,481.05,484.803717869761109850,61702,2942,29913359.00,27225,44.12,24.60,-10.55
24-June-2024,439.00,493.85,436.85,481.40,475.422550955148346912,179815,7040,85488106.00,73213,40.72,57.00,42.40
21-June-2024,443.50,449.65,437.30,439.40,442.221356460464801138,14759,2000,6526745.00,6899,46.74,12.35,-4.10
20-June-2024,450.00,450.00,441.05,443.90,443.982797240390645999,22322,1699,9910584.00,11647,52.18,8.95,-6.10
19-June-2024,450.00,450.55,434.35,442.45,441.847246944345555951,33708,2201,14893787.00,18432,54.68,16.20,-7.55
18-June-2024,460.00,469.55,440.80,446.25,447.915056535388856275,39179,1017,17548864.00,10898,27.82,28.75,-13.75
14-June-2024,460.25,474.10,460.25,465.70,467.049210726511981742,21032,1127,9822979.00,8883,42.24,13.85,5.45
13-June-2024,484.80,484.80,460.20,466.40,466.465833849154990340,53313,2938,24868693.00,32298,60.58,24.60,-18.40
12-June-2024,480.00,491.50,472.35,477.50,479.046360592721185442,64516,2350,30906155.00,22284,34.54,19.15,-2.50
11-June-2024,442.85,487.70,435.05,469.25,464.658815422682995583,95781,5174,44505486.00,23601,24.64,52.65,26.40
10-June-2024,449.75,463.95,427.40,435.25,440.887538774623120542,50613,2488,22314641.00,13977,27.62,36.55,-14.50
7-June-2024,420.30,448.65,419.75,441.25,433.984963919155909496,34783,1617,15095299.00,12126,34.86,28.90,20.95
6-June-2024,424.00,426.15,411.55,422.00,418.271363726070653246,25335,1084,10596905.00,8291,32.73,14.60,-2.00
5-June-2024,380.00,414.00,376.55,412.00,403.132567049808429118,40455,2552,16308728.00,15823,39.11,37.45,32.00
4-June-2024,418.00,418.00,365.00,385.10,393.719157028237991038,38388,2085,15114091.00,9799,25.53,53.00,-32.90
3-June-2024,429.95,434.85,412.90,416.80,418.973085331919968199,60376,2524,25295919.00,29027,48.08,21.95,-13.15
31-May-2024,432.45,440.00,408.00,418.40,419.756226429542278461,52237,2519,21926806.00,17938,34.34,32.00,-14.05
30-May-2024,412.00,423.50,405.30,418.55,415.921462556214560385,61372,2643,25525932.00,26094,42.52,18.20,6.55
29-May-2024,392.35,418.30,392.35,408.75,408.328929520915848299,36862,1923,15051821.00,13677,37.10,25.95,16.40
28-May-2024,419.00,419.00,398.60,401.15,403.680502563853313567,41149,1986,16611049.00,18583,45.16,20.40,-17.85
27-May-2024,408.65,419.10,396.50,412.75,409.568534286148700015,26308,1434,10774929.00,8596,32.67,22.60,4.10
24-May-2024,423.15,423.15,405.15,408.65,415.035534591194968553,12720,865,5279252.00,5491,43.17,18.00,-14.50
23-May-2024,425.05,441.95,412.25,421.95,425.256987313469109998,41146,1728,17497624.00,20374,49.52,29.70,-3.10
22-May-2024,405.75,439.95,402.65,426.50,422.350284760973364781,69532,2963,29366860.00,35601,51.20,37.30,20.75
21-May-2024,416.00,426.85,402.95,407.15,412.866695545118781633,43862,1954,18109159.00,24693,56.30,23.90,-8.85
18-May-2024,424.95,425.05,411.60,416.95,419.481100222350325290,12143,703,5093759.00,10292,84.76,13.45,-8.00
17-May-2024,437.35,437.35,418.30,421.55,423.992532063423345419,18479,718,7834958.00,9300,50.33,19.05,-15.80
16-May-2024,436.85,439.95,421.00,433.55,429.344361181103221091,91677,2983,39361003.00,42355,46.20,18.95,-3.30
15-May-2024,396.45,455.00,392.55,438.70,434.763741898880572588,320789,10299,139467426.00,84195,26.25,62.45,42.25
14-May-2024,389.80,407.95,382.95,399.70,398.300380621049549627,116126,3703,46253030.00,32295,27.81,25.00,9.90
13-May-2024,359.45,404.45,351.30,386.95,378.876591211303529631,257194,8025,97444786.00,65738,25.56,53.15,27.50
10-May-2024,313.00,346.30,313.00,340.15,338.052012994546931198,86190,3520,29136703.00,33713,39.11,33.30,27.15
9-May-2024,318.50,321.90,310.70,311.95,316.872327980431777092,18806,1053,5959101.00,11976,63.68,11.20,-6.55
8-May-2024,322.45,325.55,313.70,315.85,318.940283400809716599,4940,390,1575565.00,1917,38.81,11.85,-6.60
7-May-2024,321.05,321.05,310.55,317.60,315.089953149401353461,9605,527,3026439.00,3377,35.16,10.50,-3.45
6-May-2024,313.15,322.20,307.35,318.90,317.210771840542832909,18864,1089,5983864.00,9043,47.94,14.85,5.75
3-May-2024,317.75,319.55,312.00,313.25,314.362004391062895518,7743,369,2434105.00,4718,60.93,7.55,-4.50
2-May-2024,317.05,321.10,315.05,316.85,317.747343565525383707,5082,373,1614792.00,2569,50.55,6.05,-0.20
30-April-2024,321.10,323.05,316.05,316.95,319.635613612925403918,2909,176,929820.00,1428,49.09,7.00,-4.15
29-April-2024,320.60,327.20,320.55,321.30,322.949169248099127006,7102,398,2293585.00,2574,36.24,6.65,0.70
26-April-2024,327.55,332.80,322.00,322.55,326.965862019711469790,7001,373,2289088.00,2671,38.15,10.80,-5.00
25-April-2024,320.70,334.60,320.05,326.90,327.406007067137809187,11320,554,3706236.00,5286,46.70,14.55,6.20
24-April-2024,325.10,329.65,323.70,324.70,326.324424272987056648,11898,547,3882608.00,5951,50.02,5.95,-0.40
23-April-2024,313.60,338.70,313.35,323.25,330.166617333931691667,104731,4555,34578680.00,53205,50.80,25.35,9.65
22-April-2024,303.65,320.40,303.65,316.55,312.192188193519751442,20277,990,6330321.00,8217,40.52,16.75,12.90
19-April-2024,297.05,308.45,296.00,302.25,303.300653594771241830,7650,519,2320250.00,2715,35.49,12.45,5.20
18-April-2024,302.75,306.95,300.40,301.95,303.336618777146675576,5986,381,1815773.00,2370,39.59,6.55,-0.80
16-April-2024,296.55,307.00,296.55,301.25,302.537722997080765488,15415,617,4663619.00,9135,59.26,10.45,4.70
15-April-2024,309.95,312.80,294.80,303.95,305.238717765042979942,11168,411,3408906.00,7243,64.85,18.00,-6.00
12-April-2024,317.00,317.25,307.75,310.05,311.849254931057936066,16173,573,5043538.00,11826,73.12,9.50,-6.95
10-April-2024,314.60,318.85,310.85,317.40,315.854457335878983698,13618,505,4301306.00,10025,73.62,8.00,2.80
9-April-2024,317.30,317.30,312.75,313.95,315.072780678851174934,6128,269,1930766.00,3326,54.28,4.55,-3.35
8-April-2024,300.05,319.15,300.05,312.75,313.160440500374211482,46765,1797,14644948.00,27491,58.79,19.10,12.70
5-April-2024,299.95,303.00,294.50,301.15,298.666272189349112426,5070,295,1514238.00,2102,41.46,8.50,1.20
4-April-2024,295.00,301.80,295.00,300.40,299.039481169643873023,26367,769,7884774.00,14883,56.45,6.80,5.40
3-April-2024,288.00,300.00,286.65,298.80,296.950677402246757629,20741,618,6159054.00,13935,67.19,13.35,10.80
2-April-2024,286.90,290.15,283.65,288.95,288.070107108081791626,4108,192,1183392.00,2374,57.79,6.50,2.05
1-April-2024,272.15,287.15,272.15,285.95,281.440229093101369391,23222,502,6535605.00,16950,72.99,15.00,13.80
28-March-2024,277.50,281.45,268.50,273.55,275.281844915647732549,12922,326,3557192.00,11505,89.03,12.95,-3.95
27-March-2024,288.45,288.70,274.05,276.15,280.075418652976408751,16362,817,4582594.00,9435,57.66,14.65,-12.30
26-March-2024,282.60,289.10,276.35,287.75,284.423087106168917129,11331,336,3222798.00,7309,64.50,12.75,5.15
22-March-2024,279.50,285.75,277.90,282.15,282.652878146025417393,4013,215,1134286.00,2656,66.18,7.85,2.65
21-March-2024,277.25,279.25,275.50,277.45,277.363700779431116509,9879,118,2740076.00,8719,88.26,3.75,0.20
20-March-2024,275.00,276.85,271.10,273.85,272.713757074444928167,4594,122,1252847.00,3967,86.35,5.75,-1.15
19-March-2024,280.30,280.45,271.20,273.05,275.623475609756097560,2624,168,723236.00,1779,67.80,9.25,-7.25
18-March-2024,279.00,282.00,276.50,280.25,278.909303686366296079,1709,203,476656.00,947,55.41,5.50,1.25
15-March-2024,274.60,281.00,268.80,280.15,274.344955834495583449,6453,279,1770348.00,4589,71.11,12.20,5.55
14-March-2024,264.85,278.00,257.00,272.80,269.422017376562831108,18876,697,5085610.00,11838,62.71,21.00,7.95
13-March-2024,283.15,283.15,255.90,257.95,267.447873633049817739,20575,663,5502740.00,14932,72.57,27.25,-25.20
12-March-2024,285.05,289.95,276.35,279.85,282.207731894063009915,15934,490,4496698.00,11676,73.28,13.60,-5.20
11-March-2024,300.00,300.00,287.60,288.75,291.706871696299855838,6243,195,1821126.00,3171,50.79,12.40,-11.25
7-March-2024,299.85,299.85,290.60,295.00,295.860497365258389571,10817,351,3200323.00,8249,76.26,9.25,-4.85
6-March-2024,301.45,301.45,289.35,293.25,294.561192965779467680,8416,312,2479027.00,5549,65.93,12.10,-8.20
5-March-2024,300.05,304.80,298.20,301.80,301.580298965120735914,7827,485,2360469.00,3917,50.04,6.60,1.75
4-March-2024,306.55,306.55,301.50,303.20,303.216934919524142757,5716,333,1733188.00,3387,59.25,5.05,-3.35
2-March-2024,309.00,309.00,301.95,304.90,304.694888178913738019,1252,125,381478.00,980,78.27,7.05,-4.10
1-March-2024,309.90,309.90,300.05,300.65,305.059168655529037390,10056,513,3067675.00,4965,49.37,9.85,-9.25
29-February-2024,314.00,314.00,301.00,303.15,303.092765130033217208,12343,749,3741074.00,6338,51.35,13.00,-10.85
28-February-2024,305.00,313.40,297.60,309.70,304.862928709055876685,25950,1211,7911193.00,9626,37.09,15.80,4.70
27-February-2024,301.40,312.00,301.40,303.70,307.916002251195947847,21322,1016,6565385.00,7913,37.11,10.60,2.30
26-February-2024,308.95,310.30,306.05,306.90,309.026228397153507285,29510,851,9119364.00,17975,60.91,4.25,-2.05
23-February-2024,305.00,314.80,297.85,309.40,307.815211667004253595,49370,1675,15196837.00,35407,71.72,16.95,4.40
22-February-2024,297.85,298.75,295.00,295.60,296.976093500973968478,11294,213,3354048.00,8008,70.90,3.75,-2.25
21-February-2024,297.55,297.55,295.00,295.45,296.562424242424242424,4125,163,1223320.00,3149,76.34,2.55,-2.10
20-February-2024,296.15,300.15,295.45,296.30,297.514521022973558734,9228,335,2745464.00,6913,74.91,4.70,0.15
19-February-2024,299.85,300.05,295.55,299.20,298.481030504998718277,7802,276,2328749.00,5705,73.12,4.50,-0.65
16-February-2024,293.30,299.20,293.30,297.70,297.138059701492537313,7236,227,2150091.00,3408,47.10,5.90,4.40
15-February-2024,291.50,296.70,290.45,294.35,292.873370745836350470,11048,437,3235665.00,7664,69.37,6.25,2.85
14-February-2024,280.05,291.90,280.05,291.35,288.100275528095516406,11977,508,3450577.00,5230,43.67,11.85,11.30
13-February-2024,290.05,292.70,282.00,284.00,287.709835853690060747,7737,406,2226011.00,3197,41.32,10.70,-6.05
12-February-2024,299.90,300.00,290.00,290.65,294.430192402565367538,16216,847,4774480.00,7850,48.41,10.00,-9.25
9-February-2024,293.55,300.00,286.05,297.20,293.752674709765536080,17572,1063,5161822.00,8104,46.12,13.95,3.65
8-February-2024,306.95,306.95,292.25,293.50,297.708741048488492866,18293,983,5445986.00,12879,70.40,14.70,-13.45
7-February-2024,309.20,309.20,300.35,301.40,302.713320825515947467,5330,303,1613462.00,2983,55.97,8.85,-7.80
6-February-2024,311.65,311.65,301.50,303.10,304.220508300279124430,6807,296,2070829.00,4231,62.16,10.15,-8.55
5-February-2024,320.05,320.05,301.30,302.70,305.662104273325671298,28713,1160,8776476.00,14947,52.06,18.75,-17.35
2-February-2024,331.70,331.70,320.95,321.95,326.539758574439547806,5219,318,1704211.00,3552,68.06,10.75,-9.75
1-February-2024,321.00,331.15,318.55,325.85,323.905673059688116149,22316,886,7228279.00,12020,53.86,12.60,4.85
31-January-2024,320.00,321.10,316.85,318.90,318.173089812332439678,5968,378,1898857.00,3318,55.60,4.25,-1.10
30-January-2024,315.10,321.20,315.10,317.25,319.176754915961770844,9103,276,2905466.00,6918,76.00,6.10,2.15
29-January-2024,315.90,324.90,315.90,318.60,319.205300030459945172,16415,807,5239755.00,7623,46.44,9.00,2.70
25-January-2024,320.00,323.15,313.00,315.45,317.363952454111749009,12367,556,3924840.00,6900,55.79,10.15,-4.55
24-January-2024,322.15,322.15,310.50,318.15,315.327776979451070556,13918,563,4388732.00,9642,69.28,11.65,-4.00
23-January-2024,328.10,328.70,312.05,314.10,321.456990351057277766,9742,396,3131634.00,6508,66.80,16.65,-14.00
20-January-2024,329.85,334.00,324.10,324.50,327.655507678709534858,9051,323,2965610.00,6181,68.29,9.90,-5.35
19-January-2024,320.00,329.95,320.00,325.35,326.973799644339063426,8435,494,2758024.00,5135,60.88,9.95,5.35
18-January-2024,328.00,333.10,317.65,325.50,325.535592329918571053,7614,340,2478628.00,3119,40.96,15.45,-2.50
17-January-2024,329.95,329.95,322.55,327.50,327.164443482026851450,23090,913,7554227.00,13991,60.59,7.40,-2.45
16-January-2024,343.65,349.30,330.05,331.65,340.291894400329998968,38788,1166,13199242.00,19758,50.94,19.25,-12.00
15-January-2024,324.55,344.65,324.55,337.10,337.049575039874150625,91538,2915,30852844.00,60966,66.60,20.10,12.55
12-January-2024,326.65,329.20,324.05,324.95,325.693058903516904629,16179,805,5269388.00,8036,49.67,5.15,-1.70
11-January-2024,327.50,332.00,325.00,326.25,328.444546821201687600,20621,883,6772855.00,9763,47.34,7.00,-1.25
10-January-2024,327.90,328.30,323.80,325.50,325.354250469294717082,3729,276,1213246.00,1716,46.02,4.50,-2.40
9-January-2024,330.70,334.60,325.00,327.60,330.450306221123885247,9307,448,3075501.00,5660,60.81,9.60,-3.10
8-January-2024,323.80,336.00,316.60,332.00,328.386034022574524873,62194,2237,20423641.00,29923,48.11,19.40,8.20
5-January-2024,318.75,324.70,318.75,320.65,321.197153422772617819,23256,798,7469761.00,14626,62.89,5.95,1.90
4-January-2024,323.00,325.30,321.20,323.70,323.428697042366107114,12510,598,4046093.00,7380,58.99,4.10,0.70
3-January-2024,320.10,323.35,320.10,321.25,321.674680691209616829,10648,520,3425192.00,6045,56.77,3.25,1.15
2-January-2024,325.55,326.75,320.35,322.65,323.327831431079894644,5695,349,1841352.00,1602,28.13,6.40,-2.90
1-January-2024,318.05,326.00,317.40,323.95,322.179967641193513188,26577,986,8562577.00,17809,67.01,8.60,5.90
29-December-2023,331.85,331.85,320.75,323.70,323.422036763152334671,18932,959,6123026.00,10526,55.60,11.10,-8.15
28-December-2023,334.85,334.85,326.00,326.50,328.533535430087154225,23751,1027,7803000.00,12621,53.14,8.85,-8.35
27-December-2023,329.75,335.95,323.55,331.95,331.598440118088247027,50132,1883,16623693.00,22474,44.83,12.40,2.20
26-December-2023,328.95,328.95,323.30,327.65,326.775659912212133966,16631,782,5434606.00,7701,46.30,5.65,-1.30
22-December-2023,317.05,328.95,317.05,325.50,324.600324280502634779,7401,397,2402367.00,3989,53.90,11.90,8.45
21-December-2023,317.50,322.65,310.85,319.70,318.360349785785550795,17039,809,5424542.00,7548,44.30,11.80,2.20
20-December-2023,337.00,337.00,311.90,316.35,322.896204730040353476,19577,820,6321339.00,7264,37.10,25.10,-20.65
19-December-2023,333.45,340.40,327.00,330.35,333.472176839950396630,50803,1742,16941387.00,21552,42.42,13.40,-3.10
18-December-2023,329.05,331.65,325.75,326.85,328.659989039761310357,16423,687,5397583.00,9743,59.33,5.90,-2.20
15-December-2023,326.00,334.00,322.00,330.35,327.428444477357722072,27007,903,8842860.00,8414,31.15,12.00,4.35
14-December-2023,325.25,327.70,321.45,325.05,324.832041543946674934,12902,453,4190983.00,8400,65.11,6.25,-0.20
